document_id,feature_id,reason
human_news_lenta_0001,M02,меньше двух абзацев
human_news_lenta_0002,M02,меньше двух абзацев
human_news_lenta_0004,M02,меньше двух абзацев
human_news_lenta_0007,M02,меньше двух абзацев
human_news_lenta_0009,M02,меньше двух абзацев
human_news_lenta_0010,M02,меньше двух абзацев
human_news_lenta_0012,M02,меньше двух абзацев
human_news_lenta_0013,M02,меньше двух абзацев
human_news_lenta_0014,M02,меньше двух абзацев
human_news_lenta_0015,M02,меньше двух абзацев
human_news_lenta_0016,M02,меньше двух абзацев
human_news_lenta_0017,M02,меньше двух абзацев
human_news_lenta_0018,M02,меньше двух абзацев
human_news_lenta_0021,M02,меньше двух абзацев
human_news_lenta_0022,M02,меньше двух абзацев
human_news_lenta_0023,M02,меньше двух абзацев
human_news_lenta_0024,M02,меньше двух абзацев
human_news_lenta_0027,M02,меньше двух абзацев
human_news_lenta_0029,M02,меньше двух абзацев
human_news_lenta_0034,M02,меньше двух абзацев
human_news_lenta_0036,M02,меньше двух абзацев
human_news_lenta_0039,M02,меньше двух абзацев
human_news_lenta_0040,M02,меньше двух абзацев
human_news_lenta_0041,M02,меньше двух абзацев
human_news_lenta_0042,M02,меньше двух абзацев
human_news_lenta_0044,M02,меньше двух абзацев
human_news_lenta_0045,M02,меньше двух абзацев
human_news_lenta_0046,M02,меньше двух абзацев
human_news_lenta_0049,M02,меньше двух абзацев
human_news_lenta_0051,M02,меньше двух абзацев
human_news_lenta_0053,M02,меньше двух абзацев
human_news_lenta_0055,M02,меньше двух абзацев
human_news_buriy_2014_0003,M02,меньше двух абзацев
human_news_buriy_2014_0004,M02,меньше двух абзацев
human_news_buriy_2014_0010,M02,меньше двух абзацев
human_news_buriy_2014_0013,M02,меньше двух абзацев
human_news_buriy_2014_0016,M02,меньше двух абзацев
human_news_buriy_2014_0017,M02,меньше двух абзацев
human_news_buriy_2014_0023,M02,меньше двух абзацев
human_news_buriy_2014_0024,M02,меньше двух абзацев
human_news_buriy_2014_0035,M02,меньше двух абзацев
human_news_buriy_2014_0046,M02,меньше двух абзацев
human_news_buriy_2014_0049,M02,меньше двух абзацев
human_news_buriy_2014_0051,M02,меньше двух абзацев
human_prose_taiga_magazines_0001,M02,меньше двух абзацев
human_prose_taiga_magazines_0009,M02,меньше двух абзацев
human_prose_taiga_magazines_0014,M02,меньше двух абзацев
human_prose_taiga_magazines_0029,M02,меньше двух абзацев
human_prose_taiga_magazines_0057,M02,меньше двух абзацев
human_science_urfu_0023,M02,меньше двух абзацев
human_hard_rusltc_0005,M02,меньше двух абзацев
human_hard_rusltc_0013,M02,меньше двух абзацев
human_hard_rusltc_0015,M02,меньше двух абзацев
human_hard_rusltc_0018,M02,меньше двух абзацев
human_hard_rusltc_0023,M02,меньше двух абзацев
