split,model,estimand,group,n,fpr,fpr_ci_low,fpr_ci_high,delta,delta_ci_low,delta_ci_high,note
holdout_author,main,full,весь человеческий тест,495,0.028282828282828285,0.008645533141210375,0.06629834254143646,,,,
holdout_author,main,full,HH-formal-register,167,0.05389221556886228,0.004901960784313725,0.19718309859154928,0.03864831312983789,-0.015479876160990712,0.18113805155089557,
holdout_author,main,full,HH-polished,152,0.006578947368421052,0.0,0.016666666666666666,-0.03132192726714746,-0.08843537414965986,-0.0020408163265306124,
holdout_author,main,full,HH-translation,73,0.0410958904109589,0.0,0.0958904109589041,0.01502953970005843,-0.043209876543209874,0.06988616764401519,
holdout_author,main,full,genre=news,152,0.006578947368421052,0.0,0.016666666666666666,-0.03132192726714746,-0.08843537414965986,-0.0020408163265306124,
holdout_author,main,full,genre=prose,76,0.0,0.0,0.0,-0.03341288782816229,-0.08056872037914692,-0.011058451816745656,
holdout_author,main,full,genre=science,167,0.05389221556886228,0.004901960784313725,0.19718309859154928,0.03864831312983789,-0.015479876160990712,0.18113805155089557,
holdout_author,main,full,genre=seo,27,0.037037037037037035,0.0,0.17647058823529413,0.009259259259259259,-0.05647840531561462,0.2928571428571428,
holdout_author,main,full,genre=translation,73,0.0410958904109589,0.0,0.0958904109589041,0.01502953970005843,-0.043209876543209874,0.06988616764401519,
holdout_author,main,full,hh_all,392,0.03316326530612245,0.009478672985781991,0.08163265306122448,0.023454527442044782,-0.05081300813008129,0.07582770926822374,
holdout_author,main,full,len_long,172,0.03488372093023256,0.004201680672268907,0.1346153846153846,0.010115919072647417,-0.026881720430107527,0.10201268265784397,
holdout_author,main,full,len_mid,134,0.04477611940298507,0.006060606060606061,0.112,0.022615454583040474,-0.013513513513513514,0.0811643405004401,
holdout_author,main,full,len_short,189,0.010582010582010581,0.0,0.0297029702970297,-0.028633675692499222,-0.09778935511123628,0.00652822041739488,
holdout_author,main,full,source=buriy_2014,60,0.016666666666666666,0.016666666666666666,0.016666666666666666,-0.013218390804597701,-0.05686274509803922,0.007894736842105263,
holdout_author,main,full,source=cyberleninka,60,0.15,0.022727272727272728,0.265625,0.13850574712643676,0.0106359158083296,0.2557077625570776,
holdout_author,main,full,source=gazeta,60,0.0,0.0,0.0,-0.03218390804597701,-0.07692307692307693,-0.011111111111111112,
holdout_author,main,full,source=labrika,4,0.0,0.0,0.0,-0.028513238289205704,-0.06770833333333333,-0.009569377990430622,малая выборка
holdout_author,main,full,source=lenta,32,0.0,0.0,0.0,-0.03023758099352052,-0.07371794871794872,-0.010178117048346057,
holdout_author,main,full,source=madcats,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.30691056910569103,0.2695035460992908,0.32569974554707376,малая выборка
holdout_author,main,full,source=madcats_ru,8,0.0,0.0,0.0,-0.028747433264887063,-0.0676056338028169,-0.009887005649717515,малая выборка
holdout_author,main,full,source=rusltc,73,0.0410958904109589,0.0,0.0958904109589041,0.01502953970005843,-0.043209876543209874,0.06988616764401519,
holdout_author,main,full,source=seopulses,12,0.0,0.0,0.0,-0.028985507246376812,-0.06967213114754098,-0.009933774834437087,малая выборка
holdout_author,main,full,source=spbgu,59,0.0,0.0,0.0,-0.03211009174311927,-0.07493540051679587,-0.0112,
holdout_author,main,full,source=taiga_arzamas,4,0.0,0.0,0.0,-0.028513238289205704,-0.06904231625835189,-0.009596928982725527,малая выборка
holdout_author,main,full,source=taiga_magazines,60,0.0,0.0,0.0,-0.03218390804597701,-0.07661290322580645,-0.010869565217391304,
holdout_author,main,full,source=taiga_proza,12,0.0,0.0,0.0,-0.028985507246376812,-0.06984126984126984,-0.01015228426395939,малая выборка
holdout_author,main,full,source=urfu,48,0.0,0.0,0.0,-0.03131991051454139,-0.07462686567164178,-0.010438413361169102,
holdout_author,main,net,весь человеческий тест,495,0.050505050505050504,0.026490066225165563,0.09554140127388536,,,,
holdout_author,main,net,HH-formal-register,167,0.0718562874251497,0.02054794520547945,0.22784810126582278,0.03222214108368628,-0.03314376842992117,0.18703177473521054,
holdout_author,main,net,HH-polished,152,0.02631578947368421,0.0,0.05,-0.03490870032223416,-0.10557184750733137,0.00723014256619145,
holdout_author,main,net,HH-translation,73,0.0684931506849315,0.0136986301369863,0.136986301369863,0.021099785756021554,-0.05357142857142857,0.0906786271450858,
holdout_author,main,net,genre=news,152,0.02631578947368421,0.0,0.05,-0.03490870032223416,-0.10557184750733137,0.00723014256619145,
holdout_author,main,net,genre=prose,76,0.013157894736842105,0.0,0.08333333333333333,-0.04412134154000754,-0.1012794144334886,0.03672248803827751,
