document_id,transform_number,origin_class,generation_channel,median_baseline,score_seed1,score_seed2,score_seed3,n_valid,median_transformed,delta_judge,range_transformed,status
deepseek_pro_b002_P3_r1,1,A,deepseek_pro,65.0,65,65,65,3,65.0,0.0,0,ok
deepseek_pro_b004_P2_r1,1,A,deepseek_pro,68.0,68,65,68,3,68.0,0.0,3,ok
deepseek_pro_b007_P3_r2,1,A,deepseek_pro,68.0,68,65,68,3,68.0,0.0,3,ok
deepseek_pro_b009_P1_r1,1,A,deepseek_pro,65.0,68,65,68,3,68.0,3.0,3,ok
deepseek_pro_b009_P2_r2,1,A,deepseek_pro,65.0,65,68,65,3,65.0,0.0,3,ok
deepseek_pro_b021_P2_r2,1,A,deepseek_pro,65.0,55,65,65,3,65.0,0.0,10,ok
deepseek_pro_b037_P2_r2,1,A,deepseek_pro,72.0,68,72,75,3,72.0,0.0,7,ok
deepseek_pro_b038_P1_r2,1,A,deepseek_pro,68.0,68,65,68,3,68.0,0.0,3,ok
gpt_b004_P1_r1,1,A,gpt,65.0,65,68,65,3,65.0,0.0,3,ok
gpt_b004_P3_r1,1,A,gpt,68.0,68,65,68,3,68.0,0.0,3,ok
gpt_b021_P3_r2,1,A,gpt,68.0,72,68,68,3,68.0,0.0,4,ok
gpt_b026_P1_r1,1,A,gpt,65.0,55,45,45,3,45.0,-20.0,10,ok
gpt_b028_P2_r1,1,A,gpt,65.0,65,65,65,3,65.0,0.0,0,ok
gpt_b031_P1_r1,1,A,gpt,65.0,65,65,65,3,65.0,0.0,0,ok
gpt_b040_P2_r1,1,A,gpt,68.0,68,65,68,3,68.0,0.0,3,ok
human_hard_rusltc_0001,1,H,,68.0,68,68,68,3,68.0,0.0,0,ok
human_hard_rusltc_0002,1,H,,68.0,65,68,65,3,65.0,-3.0,3,ok
human_hard_rusltc_0003,1,H,,75.0,68,75,75,3,75.0,0.0,7,ok
human_hard_rusltc_0055,1,H,,68.0,68,65,68,3,68.0,0.0,3,applied_no_change
human_hard_rusltc_0068,1,H,,75.0,68,75,75,3,75.0,0.0,7,ok
human_hard_rusltc_0073,1,H,,65.0,65,68,65,3,65.0,0.0,3,applied_no_change
human_news_buriy_2014_0027,1,H,,75.0,75,75,75,3,75.0,0.0,0,ok
human_news_buriy_2014_0034,1,H,,68.0,68,65,68,3,68.0,0.0,3,ok
human_news_gazeta_0031,1,H,,68.0,68,68,68,3,68.0,0.0,0,ok
human_news_gazeta_0040,1,H,,68.0,68,65,68,3,68.0,0.0,3,ok
human_news_lenta_0001,1,H,,68.0,68,65,68,3,68.0,0.0,3,ok
human_news_lenta_0016,1,H,,68.0,65,68,65,3,65.0,-3.0,3,ok
human_prose_taiga_arzamas_0050,1,H,,65.0,65,68,65,3,65.0,0.0,3,applied_no_change
human_prose_taiga_arzamas_0051,1,H,,65.0,65,68,65,3,65.0,0.0,3,applied_no_change
human_prose_taiga_magazines_0048,1,H,,68.0,68,68,65,3,68.0,0.0,3,ok
human_prose_taiga_magazines_0053,1,H,,68.0,68,68,75,3,68.0,0.0,7,ok
human_prose_taiga_proza_0034,1,H,,68.0,68,65,68,3,68.0,0.0,3,applied_no_change
human_prose_taiga_proza_0056,1,H,,75.0,68,75,75,3,75.0,0.0,7,ok
human_science_cyberleninka_0026,1,H,,65.0,75,68,65,3,68.0,3.0,10,ok
human_science_cyberleninka_0031,1,H,,72.0,68,75,75,3,75.0,3.0,7,ok
human_science_cyberleninka_0032,1,H,,68.0,75,65,68,3,68.0,0.0,10,ok
human_science_cyberleninka_0053,1,H,,75.0,68,78,75,3,75.0,0.0,10,ok
human_science_spbgu_0024,1,H,,65.0,65,65,68,3,65.0,0.0,3,ok
human_science_urfu_0028,1,H,,75.0,85,78,75,3,78.0,3.0,10,ok
human_seo_alaev_0004,1,H,,75.0,75,65,68,3,68.0,-7.0,10,ok
human_seo_convertmonster_0001,1,H,,68.0,75,68,68,3,68.0,0.0,7,ok
human_seo_devaka_ru_0004,1,H,,68.0,68,65,68,3,68.0,0.0,3,ok
human_seo_drmax_0002,1,H,,68.0,65,68,75,3,68.0,0.0,10,ok
human_seo_drmax_su_0001,1,H,,75.0,68,75,75,3,75.0,0.0,7,ok
human_seo_labrika_0002,1,H,,75.0,68,75,75,3,75.0,0.0,7,ok
nemotron_b012_P1_r1,1,A,nemotron,55.0,45,55,65,3,55.0,0.0,20,ok
nemotron_b015_P3_r2,1,A,nemotron,65.0,65,68,65,3,65.0,0.0,3,ok
nemotron_b016_P1_r1,1,A,nemotron,68.0,65,68,65,3,65.0,-3.0,3,ok
nemotron_b022_P3_r2,1,A,nemotron,68.0,65,68,65,3,65.0,-3.0,3,ok
nemotron_b028_P1_r2,1,A,nemotron,65.0,65,65,65,3,65.0,0.0,0,ok
nemotron_b033_P2_r2,1,A,nemotron,68.0,68,65,68,3,68.0,0.0,3,ok
nemotron_b038_P1_r2,1,A,nemotron,65.0,65,68,65,3,65.0,0.0,3,ok
real_claude_b015_P2_r1,1,A,real_claude,68.0,68,68,68,3,68.0,0.0,0,ok
real_claude_b018_P3_r2,1,A,real_claude,65.0,68,65,68,3,68.0,3.0,3,ok
real_claude_b024_P1_r2,1,A,real_claude,68.0,68,65,68,3,68.0,0.0,3,ok
real_claude_b025_P2_r1,1,A,real_claude,65.0,65,68,65,3,65.0,0.0,3,ok
real_claude_b034_P2_r2,1,A,real_claude,65.0,65,68,65,3,65.0,0.0,3,ok
real_claude_b040_P3_r2,1,A,real_claude,65.0,65,68,65,3,65.0,0.0,3,ok
real_claude_b042_P3_r2,1,A,real_claude,65.0,65,68,65,3,65.0,0.0,3,ok
real_claude_b045_P3_r1,1,A,real_claude,65.0,65,68,65,3,65.0,0.0,3,ok
deepseek_pro_b002_P3_r1,2,A,deepseek_pro,65.0,65,65,65,3,65.0,0.0,0,applied_no_change
deepseek_pro_b004_P2_r1,2,A,deepseek_pro,68.0,68,65,68,3,68.0,0.0,3,ok
deepseek_pro_b007_P3_r2,2,A,deepseek_pro,68.0,68,65,68,3,68.0,0.0,3,applied_no_change
deepseek_pro_b009_P1_r1,2,A,deepseek_pro,65.0,65,68,65,3,65.0,0.0,3,ok
deepseek_pro_b009_P2_r2,2,A,deepseek_pro,65.0,65,68,65,3,65.0,0.0,3,applied_no_change
deepseek_pro_b021_P2_r2,2,A,deepseek_pro,65.0,55,65,65,3,65.0,0.0,10,applied_no_change
deepseek_pro_b037_P2_r2,2,A,deepseek_pro,72.0,65,68,65,3,65.0,-7.0,3,ok
deepseek_pro_b038_P1_r2,2,A,deepseek_pro,68.0,65,68,65,3,65.0,-3.0,3,ok
gpt_b004_P1_r1,2,A,gpt,65.0,65,68,65,3,65.0,0.0,3,applied_no_change
gpt_b004_P3_r1,2,A,gpt,68.0,68,65,68,3,68.0,0.0,3,applied_no_change
gpt_b021_P3_r2,2,A,gpt,68.0,72,68,68,3,68.0,0.0,4,applied_no_change
gpt_b026_P1_r1,2,A,gpt,65.0,55,68,65,3,65.0,0.0,13,applied_no_change
gpt_b028_P2_r1,2,A,gpt,65.0,65,68,65,3,65.0,0.0,3,ok
gpt_b031_P1_r1,2,A,gpt,65.0,65,65,65,3,65.0,0.0,0,applied_no_change
gpt_b040_P2_r1,2,A,gpt,68.0,68,65,68,3,68.0,0.0,3,ok
human_hard_rusltc_0001,2,H,,68.0,68,68,68,3,68.0,0.0,0,applied_no_change
human_hard_rusltc_0002,2,H,,68.0,68,65,68,3,68.0,0.0,3,applied_no_change
human_hard_rusltc_0003,2,H,,75.0,68,75,75,3,75.0,0.0,7,applied_no_change
human_hard_rusltc_0055,2,H,,68.0,68,65,68,3,68.0,0.0,3,applied_no_change
human_hard_rusltc_0068,2,H,,75.0,68,75,75,3,75.0,0.0,7,applied_no_change
human_hard_rusltc_0073,2,H,,65.0,65,68,65,3,65.0,0.0,3,applied_no_change
human_news_buriy_2014_0027,2,H,,75.0,75,75,75,3,75.0,0.0,0,applied_no_change
human_news_buriy_2014_0034,2,H,,68.0,68,65,68,3,68.0,0.0,3,applied_no_change
human_news_gazeta_0031,2,H,,68.0,68,65,68,3,68.0,0.0,3,applied_no_change
human_news_gazeta_0040,2,H,,68.0,68,68,68,3,68.0,0.0,0,applied_no_change
human_news_lenta_0001,2,H,,68.0,68,65,68,3,68.0,0.0,3,applied_no_change
human_news_lenta_0016,2,H,,68.0,75,65,68,3,68.0,0.0,10,applied_no_change
human_prose_taiga_arzamas_0050,2,H,,65.0,65,68,65,3,65.0,0.0,3,applied_no_change
human_prose_taiga_arzamas_0051,2,H,,65.0,65,68,65,3,65.0,0.0,3,applied_no_change
human_prose_taiga_magazines_0048,2,H,,68.0,72,68,68,3,68.0,0.0,4,applied_no_change
human_prose_taiga_magazines_0053,2,H,,68.0,75,68,68,3,68.0,0.0,7,applied_no_change
human_prose_taiga_proza_0034,2,H,,68.0,68,65,68,3,68.0,0.0,3,applied_no_change
human_prose_taiga_proza_0056,2,H,,75.0,68,75,75,3,75.0,0.0,7,applied_no_change
human_science_cyberleninka_0026,2,H,,65.0,65,68,65,3,65.0,0.0,3,applied_no_change
human_science_cyberleninka_0031,2,H,,72.0,68,72,75,3,72.0,0.0,7,applied_no_change
human_science_cyberleninka_0032,2,H,,68.0,75,65,68,3,68.0,0.0,10,applied_no_change
