document_id,origin_class,generation_channel,nll,scored_tokens,n_windows,expected_tokens,provenance
deepseek_pro_b001_P1_r1,A,deepseek_pro,2.747998,1685,3,1685,унаследовано из nll-v1
deepseek_pro_b001_P1_r2,A,deepseek_pro,2.799307,2088,4,2088,унаследовано из nll-v1
deepseek_pro_b001_P2_r1,A,deepseek_pro,2.954338,748,1,748,унаследовано из nll-v1
deepseek_pro_b001_P2_r2,A,deepseek_pro,2.684695,1099,2,1099,унаследовано из nll-v1
deepseek_pro_b001_P3_r1,A,deepseek_pro,2.762825,2437,4,2437,унаследовано из nll-v1
deepseek_pro_b001_P3_r2,A,deepseek_pro,2.833102,2422,4,2422,унаследовано из nll-v1
deepseek_pro_b002_P1_r1,A,deepseek_pro,3.033869,2463,4,2463,унаследовано из nll-v1
deepseek_pro_b002_P1_r2,A,deepseek_pro,2.879905,2960,5,2960,унаследовано из nll-v1
deepseek_pro_b002_P2_r1,A,deepseek_pro,2.826128,2026,3,2026,унаследовано из nll-v1
deepseek_pro_b002_P2_r2,A,deepseek_pro,2.822754,1316,2,1316,унаследовано из nll-v1
deepseek_pro_b002_P3_r1,A,deepseek_pro,2.932154,2188,4,2188,унаследовано из nll-v1
deepseek_pro_b002_P3_r2,A,deepseek_pro,2.983444,2034,3,2034,унаследовано из nll-v1
deepseek_pro_b003_P1_r1,A,deepseek_pro,3.238685,1130,2,1130,унаследовано из nll-v1
deepseek_pro_b003_P1_r2,A,deepseek_pro,3.319918,2004,3,2004,унаследовано из nll-v1
deepseek_pro_b003_P2_r1,A,deepseek_pro,3.024343,2204,4,2204,унаследовано из nll-v1
deepseek_pro_b003_P2_r2,A,deepseek_pro,3.075223,1515,2,1515,унаследовано из nll-v1
deepseek_pro_b003_P3_r1,A,deepseek_pro,3.314584,2185,4,2185,унаследовано из nll-v1
deepseek_pro_b003_P3_r2,A,deepseek_pro,3.170417,2150,4,2150,унаследовано из nll-v1
deepseek_pro_b004_P1_r1,A,deepseek_pro,2.929505,1645,3,1645,унаследовано из nll-v1
deepseek_pro_b004_P1_r2,A,deepseek_pro,3.002346,2003,3,2003,унаследовано из nll-v1
deepseek_pro_b004_P2_r1,A,deepseek_pro,2.962420,1462,2,1462,унаследовано из nll-v1
deepseek_pro_b004_P2_r2,A,deepseek_pro,2.978975,1909,3,1909,унаследовано из nll-v1
deepseek_pro_b004_P3_r1,A,deepseek_pro,3.048490,2317,4,2317,унаследовано из nll-v1
deepseek_pro_b004_P3_r2,A,deepseek_pro,2.925725,1822,3,1822,унаследовано из nll-v1
deepseek_pro_b005_P1_r1,A,deepseek_pro,3.282531,3456,6,3456,унаследовано из nll-v1
deepseek_pro_b005_P1_r2,A,deepseek_pro,3.203623,2409,4,2409,унаследовано из nll-v1
deepseek_pro_b005_P2_r1,A,deepseek_pro,3.031510,2150,4,2150,унаследовано из nll-v1
deepseek_pro_b005_P2_r2,A,deepseek_pro,3.109313,1204,2,1204,унаследовано из nll-v1
deepseek_pro_b005_P3_r1,A,deepseek_pro,3.368959,3403,6,3403,унаследовано из nll-v1
deepseek_pro_b005_P3_r2,A,deepseek_pro,3.205851,2866,5,2866,унаследовано из nll-v1
deepseek_pro_b006_P1_r1,A,deepseek_pro,2.851000,2438,4,2438,унаследовано из nll-v1
deepseek_pro_b006_P1_r2,A,deepseek_pro,2.995494,845,1,845,унаследовано из nll-v1
deepseek_pro_b006_P2_r1,A,deepseek_pro,3.205314,1595,3,1595,унаследовано из nll-v1
deepseek_pro_b006_P2_r2,A,deepseek_pro,2.925415,1040,2,1040,унаследовано из nll-v1
deepseek_pro_b006_P3_r1,A,deepseek_pro,3.055426,1919,3,1919,унаследовано из nll-v1
deepseek_pro_b006_P3_r2,A,deepseek_pro,3.230076,2178,4,2178,унаследовано из nll-v1
deepseek_pro_b007_P1_r1,A,deepseek_pro,3.054551,1389,2,1389,унаследовано из nll-v1
deepseek_pro_b007_P1_r2,A,deepseek_pro,3.047745,1709,3,1709,унаследовано из nll-v1
deepseek_pro_b007_P2_r1,A,deepseek_pro,3.047885,1216,2,1216,унаследовано из nll-v1
deepseek_pro_b007_P2_r2,A,deepseek_pro,2.960526,936,1,936,унаследовано из nll-v1
deepseek_pro_b007_P3_r1,A,deepseek_pro,2.946335,2180,4,2180,унаследовано из nll-v1
deepseek_pro_b007_P3_r2,A,deepseek_pro,3.047212,2708,5,2708,унаследовано из nll-v1
deepseek_pro_b008_P1_r1,A,deepseek_pro,3.006850,2355,4,2355,унаследовано из nll-v1
deepseek_pro_b008_P1_r2,A,deepseek_pro,3.036632,2552,4,2552,унаследовано из nll-v1
deepseek_pro_b008_P2_r1,A,deepseek_pro,2.901680,1378,2,1378,унаследовано из nll-v1
deepseek_pro_b008_P2_r2,A,deepseek_pro,3.006587,1240,2,1240,унаследовано из nll-v1
deepseek_pro_b008_P3_r1,A,deepseek_pro,3.174201,2520,4,2520,унаследовано из nll-v1
deepseek_pro_b008_P3_r2,A,deepseek_pro,3.175927,2167,4,2167,унаследовано из nll-v1
deepseek_pro_b009_P1_r1,A,deepseek_pro,2.999451,2933,5,2933,унаследовано из nll-v1
deepseek_pro_b009_P1_r2,A,deepseek_pro,3.038400,1759,3,1759,унаследовано из nll-v1
deepseek_pro_b009_P2_r1,A,deepseek_pro,3.334648,1359,2,1359,унаследовано из nll-v1
deepseek_pro_b009_P2_r2,A,deepseek_pro,2.931191,1067,2,1067,унаследовано из nll-v1
deepseek_pro_b009_P3_r1,A,deepseek_pro,3.093755,2152,4,2152,унаследовано из nll-v1
deepseek_pro_b009_P3_r2,A,deepseek_pro,3.152363,1445,2,1445,унаследовано из nll-v1
deepseek_pro_b010_P1_r1,A,deepseek_pro,2.974424,2311,4,2311,унаследовано из nll-v1
deepseek_pro_b010_P1_r2,A,deepseek_pro,2.949215,1801,3,1801,унаследовано из nll-v1
deepseek_pro_b010_P2_r1,A,deepseek_pro,3.004417,2886,5,2886,унаследовано из nll-v1
deepseek_pro_b010_P2_r2,A,deepseek_pro,3.022218,2158,4,2158,унаследовано из nll-v1
deepseek_pro_b010_P3_r1,A,deepseek_pro,2.965189,1776,3,1776,унаследовано из nll-v1
deepseek_pro_b010_P3_r2,A,deepseek_pro,3.263237,2187,4,2187,унаследовано из nll-v1
deepseek_pro_b011_P1_r1,A,deepseek_pro,2.950606,1720,3,1720,унаследовано из nll-v1
deepseek_pro_b011_P1_r2,A,deepseek_pro,3.161135,1480,2,1480,унаследовано из nll-v1
deepseek_pro_b011_P2_r1,A,deepseek_pro,3.230182,919,1,919,унаследовано из nll-v1
deepseek_pro_b011_P2_r2,A,deepseek_pro,3.052231,957,1,957,унаследовано из nll-v1
deepseek_pro_b011_P3_r1,A,deepseek_pro,3.060772,2142,4,2142,унаследовано из nll-v1
