document_id,origin_class,generation_channel,nll,scored_tokens,n_windows,expected_tokens
deepseek_pro_b001_P1_r1,A,deepseek_pro,2.747998,1685,3,1685
deepseek_pro_b001_P1_r2,A,deepseek_pro,2.799307,2088,4,2088
deepseek_pro_b001_P2_r1,A,deepseek_pro,2.954338,748,1,748
deepseek_pro_b001_P2_r2,A,deepseek_pro,2.684695,1099,2,1099
deepseek_pro_b001_P3_r1,A,deepseek_pro,2.762825,2437,4,2437
deepseek_pro_b001_P3_r2,A,deepseek_pro,2.833102,2422,4,2422
deepseek_pro_b002_P1_r1,A,deepseek_pro,3.033869,2463,4,2463
deepseek_pro_b002_P1_r2,A,deepseek_pro,2.879905,2960,5,2960
deepseek_pro_b002_P2_r1,A,deepseek_pro,2.826128,2026,3,2026
deepseek_pro_b002_P2_r2,A,deepseek_pro,2.822754,1316,2,1316
deepseek_pro_b002_P3_r1,A,deepseek_pro,2.932154,2188,4,2188
deepseek_pro_b002_P3_r2,A,deepseek_pro,2.983444,2034,3,2034
deepseek_pro_b003_P1_r1,A,deepseek_pro,3.238685,1130,2,1130
deepseek_pro_b003_P1_r2,A,deepseek_pro,3.319918,2004,3,2004
deepseek_pro_b003_P2_r1,A,deepseek_pro,3.024343,2204,4,2204
deepseek_pro_b003_P2_r2,A,deepseek_pro,3.075223,1515,2,1515
deepseek_pro_b003_P3_r1,A,deepseek_pro,3.314584,2185,4,2185
deepseek_pro_b003_P3_r2,A,deepseek_pro,3.170417,2150,4,2150
deepseek_pro_b004_P1_r1,A,deepseek_pro,2.929505,1645,3,1645
deepseek_pro_b004_P1_r2,A,deepseek_pro,3.002346,2003,3,2003
deepseek_pro_b004_P2_r1,A,deepseek_pro,2.962420,1462,2,1462
deepseek_pro_b004_P2_r2,A,deepseek_pro,2.978975,1909,3,1909
deepseek_pro_b004_P3_r1,A,deepseek_pro,3.048490,2317,4,2317
deepseek_pro_b004_P3_r2,A,deepseek_pro,2.925725,1822,3,1822
deepseek_pro_b005_P1_r1,A,deepseek_pro,3.282531,3456,6,3456
deepseek_pro_b005_P1_r2,A,deepseek_pro,3.203623,2409,4,2409
deepseek_pro_b005_P2_r1,A,deepseek_pro,3.031510,2150,4,2150
deepseek_pro_b005_P2_r2,A,deepseek_pro,3.109313,1204,2,1204
deepseek_pro_b005_P3_r1,A,deepseek_pro,3.368959,3403,6,3403
deepseek_pro_b005_P3_r2,A,deepseek_pro,3.205851,2866,5,2866
deepseek_pro_b006_P1_r1,A,deepseek_pro,2.851000,2438,4,2438
deepseek_pro_b006_P1_r2,A,deepseek_pro,2.995494,845,1,845
deepseek_pro_b006_P2_r1,A,deepseek_pro,3.205314,1595,3,1595
deepseek_pro_b006_P2_r2,A,deepseek_pro,2.925415,1040,2,1040
deepseek_pro_b006_P3_r1,A,deepseek_pro,3.055426,1919,3,1919
deepseek_pro_b006_P3_r2,A,deepseek_pro,3.230076,2178,4,2178
deepseek_pro_b007_P1_r1,A,deepseek_pro,3.054551,1389,2,1389
deepseek_pro_b007_P1_r2,A,deepseek_pro,3.047745,1709,3,1709
