original_document_id,transformation_id,transformation,meaning_preserving,origin_class,genre,prompt_condition,generation_channel,index_baseline,index_transformed,delta,abs_delta,unstable,features_common,features_format,weight_common,weight_format,dropped_categories,m02_missing,applied_no_change
deepseek_pro_b002_P3_r1,1,замена длинных тире,1,A,seo,P3,deepseek_pro,39.0097,39.0097,-0.0000,0.0000,0,18,4,0.5700,0.1200,,0,0
deepseek_pro_b004_P2_r1,1,замена длинных тире,1,A,seo,P2,deepseek_pro,63.7681,52.8986,-10.8695,10.8695,1,18,4,0.5700,0.1200,,0,0
deepseek_pro_b007_P3_r2,1,замена длинных тире,1,A,seo,P3,deepseek_pro,47.5845,41.0628,-6.5217,6.5217,1,18,4,0.5700,0.1200,,0,0
deepseek_pro_b009_P1_r1,1,замена длинных тире,1,A,seo,P1,deepseek_pro,49.1546,44.8068,-4.3478,4.3478,0,18,4,0.5700,0.1200,,0,0
deepseek_pro_b009_P2_r2,1,замена длинных тире,1,A,seo,P2,deepseek_pro,53.0797,43.8406,-9.2391,9.2391,1,18,4,0.5700,0.1200,,0,0
deepseek_pro_b021_P2_r2,1,замена длинных тире,1,A,analytics,P2,deepseek_pro,59.8430,48.9734,-10.8696,10.8696,1,18,4,0.5700,0.1200,,0,0
deepseek_pro_b037_P2_r2,1,замена длинных тире,1,A,commercial,P2,deepseek_pro,61.2923,52.5966,-8.6957,8.6957,1,18,4,0.5700,0.1200,,0,0
deepseek_pro_b038_P1_r2,1,замена длинных тире,1,A,commercial,P1,deepseek_pro,43.0556,38.7077,-4.3479,4.3479,0,18,4,0.5700,0.1200,,0,0
gpt_b004_P1_r1,1,замена длинных тире,1,A,seo,P1,gpt,41.5459,41.5459,-0.0000,0.0000,0,18,4,0.5700,0.1200,,0,0
gpt_b004_P3_r1,1,замена длинных тире,1,A,seo,P3,gpt,35.0242,35.0242,-0.0000,0.0000,0,18,4,0.5700,0.1200,,0,0
gpt_b021_P3_r2,1,замена длинных тире,1,A,analytics,P3,gpt,52.4155,52.4155,-0.0000,0.0000,0,18,4,0.5700,0.1200,,0,0
gpt_b026_P1_r1,1,замена длинных тире,1,A,analytics,P1,gpt,61.1715,58.9976,-2.1739,2.1739,0,18,4,0.5700,0.1200,,0,0
gpt_b028_P2_r1,1,замена длинных тире,1,A,analytics,P2,gpt,43.7802,37.2585,-6.5217,6.5217,1,18,4,0.5700,0.1200,,0,0
gpt_b031_P1_r1,1,замена длинных тире,1,A,commercial,P1,gpt,29.7705,27.5966,-2.1739,2.1739,0,18,4,0.5700,0.1200,,0,0
gpt_b040_P2_r1,1,замена длинных тире,1,A,commercial,P2,gpt,60.1449,53.6232,-6.5217,6.5217,1,18,4,0.5700,0.1200,,0,0
human_hard_rusltc_0001,1,замена длинных тире,1,H,translation,,,45.2899,43.5990,-1.6909,1.6909,0,18,4,0.5700,0.1200,,0,0
human_hard_rusltc_0002,1,замена длинных тире,1,H,translation,,,46.7391,46.7391,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,0
human_hard_rusltc_0003,1,замена длинных тире,1,H,translation,,,51.2681,51.2681,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,0
human_hard_rusltc_0055,1,замена длинных тире,1,H,translation,,,40.5797,40.5797,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,1
human_hard_rusltc_0068,1,замена длинных тире,1,H,translation,,,17.3913,17.3913,0.0000,0.0000,0,17,4,0.5700,0.1200,,1,0
human_hard_rusltc_0073,1,замена длинных тире,1,H,translation,,,54.8309,54.8309,0.0000,0.0000,0,17,4,0.5700,0.1200,,1,1
human_news_buriy_2014_0027,1,замена длинных тире,1,H,news,,,29.3478,29.3478,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,0
human_news_buriy_2014_0034,1,замена длинных тире,1,H,news,,,47.2222,47.2222,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,0
human_news_gazeta_0031,1,замена длинных тире,1,H,news,,,36.3527,33.4541,-2.8986,2.8986,0,17,4,0.5700,0.1200,,1,0
human_news_gazeta_0040,1,замена длинных тире,1,H,news,,,29.1063,28.0193,-1.0870,1.0870,0,17,4,0.5700,0.1200,,1,0
human_news_lenta_0001,1,замена длинных тире,1,H,news,,,49.2150,49.2150,-0.0000,0.0000,0,17,4,0.5700,0.1200,,1,0
human_news_lenta_0016,1,замена длинных тире,1,H,news,,,61.2319,61.2319,-0.0000,0.0000,0,17,4,0.5700,0.1200,,1,0
human_prose_taiga_arzamas_0050,1,замена длинных тире,1,H,prose,,,26.2077,26.2077,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,1
human_prose_taiga_arzamas_0051,1,замена длинных тире,1,H,prose,,,39.0097,39.0097,-0.0000,0.0000,0,18,4,0.5700,0.1200,,0,1
human_prose_taiga_magazines_0048,1,замена длинных тире,1,H,prose,,,55.1329,55.1329,-0.0000,0.0000,0,18,4,0.5700,0.1200,,0,0
human_prose_taiga_magazines_0053,1,замена длинных тире,1,H,prose,,,17.2101,17.2101,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,0
