Карточка,Ожидаемое изменение присутствует,Есть неожиданные изменения,Тип изменения,Вердикт
BLIND-01,да,да,дублирование; структура абзацев,составное воздействие
BLIND-02,да,да,дублирование; структура абзацев,составное воздействие
BLIND-03,да,да,дублирование; структура абзацев,составное воздействие
BLIND-04,да,да,дублирование; структура абзацев,составное воздействие
BLIND-05,не определяется,нет,другое,неопределённо
BLIND-06,да,да,дублирование; структура абзацев,составное воздействие
BLIND-07,да,да,дублирование; структура абзацев,составное воздействие
BLIND-08,да,да,дублирование; структура абзацев,составное воздействие
BLIND-09,да,да,дублирование; структура абзацев,составное воздействие
BLIND-10,да,да,дублирование; структура абзацев,составное воздействие
BLIND-11,да,да,дублирование; структура абзацев,составное воздействие
BLIND-12,да,да,дублирование; структура абзацев,составное воздействие
BLIND-13,да,да,дублирование; структура абзацев,составное воздействие
BLIND-14,да,да,дублирование; структура абзацев,составное воздействие
BLIND-15,да,нет,структура абзацев; потеря содержания,интерпретируемый стресс-случай
BLIND-16,да,да,дублирование; структура абзацев,составное воздействие
BLIND-17,да,да,дублирование; структура абзацев,составное воздействие
BLIND-18,да,да,дублирование; структура абзацев,составное воздействие
BLIND-19,да,да,дублирование; структура абзацев,составное воздействие
BLIND-20,да,да,дублирование; структура абзацев,составное воздействие
BLIND-21,да,да,дублирование; структура абзацев,составное воздействие
BLIND-22,да,да,дублирование; структура абзацев,составное воздействие
BLIND-23,да,да,дублирование; структура абзацев,составное воздействие
BLIND-24,да,да,дублирование; структура абзацев,составное воздействие
BLIND-25,да,да,дублирование; структура абзацев,составное воздействие
BLIND-26,да,да,дублирование; структура абзацев,составное воздействие
BLIND-27,да,да,дублирование; структура абзацев,составное воздействие
BLIND-28,да,нет,структура абзацев; потеря содержания,интерпретируемый стресс-случай
BLIND-29,да,нет,разметка,интерпретируемый стресс-случай
BLIND-30,да,да,дублирование; структура абзацев,составное воздействие
