document_id,origin_class,generation_channel,score_seed1,score_seed2,score_seed3,n_valid,median,range,status
deepseek_pro_b001_P1_r1,A,deepseek_pro,65,68,65,3,65.0,3,ok
deepseek_pro_b001_P1_r2,A,deepseek_pro,65,68,65,3,65.0,3,ok
deepseek_pro_b001_P2_r1,A,deepseek_pro,68,65,68,3,68.0,3,ok
deepseek_pro_b001_P2_r2,A,deepseek_pro,65,65,65,3,65.0,0,ok
deepseek_pro_b001_P3_r1,A,deepseek_pro,68,65,68,3,68.0,3,ok
deepseek_pro_b001_P3_r2,A,deepseek_pro,75,65,68,3,68.0,10,ok
deepseek_pro_b002_P1_r1,A,deepseek_pro,65,68,65,3,65.0,3,ok
deepseek_pro_b002_P1_r2,A,deepseek_pro,65,68,65,3,65.0,3,ok
deepseek_pro_b002_P2_r1,A,deepseek_pro,65,65,65,3,65.0,0,ok
deepseek_pro_b002_P2_r2,A,deepseek_pro,65,68,65,3,65.0,3,ok
deepseek_pro_b002_P3_r1,A,deepseek_pro,65,65,65,3,65.0,0,ok
deepseek_pro_b002_P3_r2,A,deepseek_pro,65,68,65,3,65.0,3,ok
deepseek_pro_b003_P1_r1,A,deepseek_pro,55,65,65,3,65.0,10,ok
deepseek_pro_b003_P1_r2,A,deepseek_pro,45,65,65,3,65.0,20,ok
deepseek_pro_b003_P2_r1,A,deepseek_pro,68,65,68,3,68.0,3,ok
deepseek_pro_b003_P2_r2,A,deepseek_pro,65,68,65,3,65.0,3,ok
deepseek_pro_b003_P3_r1,A,deepseek_pro,75,65,68,3,68.0,10,ok
deepseek_pro_b003_P3_r2,A,deepseek_pro,65,65,65,3,65.0,0,ok
deepseek_pro_b004_P1_r1,A,deepseek_pro,65,68,65,3,65.0,3,ok
deepseek_pro_b004_P1_r2,A,deepseek_pro,68,65,68,3,68.0,3,ok
deepseek_pro_b004_P2_r1,A,deepseek_pro,68,65,68,3,68.0,3,ok
deepseek_pro_b004_P2_r2,A,deepseek_pro,68,65,68,3,68.0,3,ok
deepseek_pro_b004_P3_r1,A,deepseek_pro,68,65,68,3,68.0,3,ok
deepseek_pro_b004_P3_r2,A,deepseek_pro,75,65,68,3,68.0,10,ok
deepseek_pro_b005_P1_r1,A,deepseek_pro,55,65,65,3,65.0,10,ok
deepseek_pro_b005_P1_r2,A,deepseek_pro,68,65,68,3,68.0,3,ok
deepseek_pro_b005_P2_r1,A,deepseek_pro,65,65,65,3,65.0,0,ok
deepseek_pro_b005_P2_r2,A,deepseek_pro,68,65,68,3,68.0,3,ok
deepseek_pro_b005_P3_r1,A,deepseek_pro,65,68,65,3,65.0,3,ok
deepseek_pro_b005_P3_r2,A,deepseek_pro,65,65,65,3,65.0,0,ok
deepseek_pro_b006_P1_r1,A,deepseek_pro,65,68,65,3,65.0,3,ok
deepseek_pro_b006_P1_r2,A,deepseek_pro,55,65,65,3,65.0,10,ok
deepseek_pro_b006_P2_r1,A,deepseek_pro,65,68,65,3,65.0,3,ok
deepseek_pro_b006_P2_r2,A,deepseek_pro,68,65,68,3,68.0,3,ok
deepseek_pro_b006_P3_r1,A,deepseek_pro,68,65,68,3,68.0,3,ok
deepseek_pro_b006_P3_r2,A,deepseek_pro,75,65,68,3,68.0,10,ok
deepseek_pro_b007_P1_r1,A,deepseek_pro,55,65,65,3,65.0,10,ok
deepseek_pro_b007_P1_r2,A,deepseek_pro,65,65,65,3,65.0,0,ok
deepseek_pro_b007_P2_r1,A,deepseek_pro,65,68,65,3,65.0,3,ok
deepseek_pro_b007_P2_r2,A,deepseek_pro,58,65,65,3,65.0,7,ok
deepseek_pro_b007_P3_r1,A,deepseek_pro,65,65,65,3,65.0,0,ok
deepseek_pro_b007_P3_r2,A,deepseek_pro,68,65,68,3,68.0,3,ok
deepseek_pro_b008_P1_r1,A,deepseek_pro,65,68,65,3,65.0,3,ok
deepseek_pro_b008_P1_r2,A,deepseek_pro,65,68,65,3,65.0,3,ok
deepseek_pro_b008_P2_r1,A,deepseek_pro,65,65,65,3,65.0,0,ok
deepseek_pro_b008_P2_r2,A,deepseek_pro,65,68,65,3,65.0,3,ok
deepseek_pro_b008_P3_r1,A,deepseek_pro,65,68,65,3,65.0,3,ok
deepseek_pro_b008_P3_r2,A,deepseek_pro,65,68,65,3,65.0,3,ok
deepseek_pro_b009_P1_r1,A,deepseek_pro,65,68,65,3,65.0,3,ok
deepseek_pro_b009_P1_r2,A,deepseek_pro,65,68,65,3,65.0,3,ok
deepseek_pro_b009_P2_r1,A,deepseek_pro,65,68,65,3,65.0,3,ok
deepseek_pro_b009_P2_r2,A,deepseek_pro,65,68,65,3,65.0,3,ok
deepseek_pro_b009_P3_r1,A,deepseek_pro,65,68,65,3,65.0,3,ok
deepseek_pro_b009_P3_r2,A,deepseek_pro,65,68,65,3,65.0,3,ok
deepseek_pro_b010_P1_r1,A,deepseek_pro,68,65,68,3,68.0,3,ok
deepseek_pro_b010_P1_r2,A,deepseek_pro,65,68,65,3,65.0,3,ok
deepseek_pro_b010_P2_r1,A,deepseek_pro,65,68,65,3,65.0,3,ok
deepseek_pro_b010_P2_r2,A,deepseek_pro,65,68,65,3,65.0,3,ok
deepseek_pro_b010_P3_r1,A,deepseek_pro,65,65,65,3,65.0,0,ok
deepseek_pro_b010_P3_r2,A,deepseek_pro,68,65,68,3,68.0,3,ok
deepseek_pro_b011_P1_r1,A,deepseek_pro,65,68,65,3,65.0,3,ok
deepseek_pro_b011_P1_r2,A,deepseek_pro,68,65,68,3,68.0,3,ok
deepseek_pro_b011_P2_r1,A,deepseek_pro,45,65,65,3,65.0,20,ok
