card_id,expected_change_present,unexpected_changes,change_type,verdict,rationale,reviewed_by,reviewed_at
BLIND-01,да,да,дублирование; структура абзацев,составное воздействие,"в тексте B соседние позиции [3, 4] занимает одно и то же предложение: «Разница ощущается не в момент запуска, а через несколько циклов.»; одновременно число абзацных разделителей меняется 17→4, то есть дублирование идёт вместе с перестройкой абзацев",один оценщик,2026-08-01
BLIND-02,да,да,дублирование; структура абзацев,составное воздействие,"в тексте A соседние позиции [3, 4] занимает одно и то же предложение: «## Цикл работы

Работа идёт повторяющимися циклами, привязанными к календарю публикаций.»; одновременно число абзацных разделителей меняется 20→6, то есть дублирование идёт вместе с перестройкой абзацев",один оценщик,2026-08-01
BLIND-03,да,да,дублирование; структура абзацев,составное воздействие,"в тексте B соседние позиции [3, 4] занимает одно и то же предложение: «Ниже описан полный цикл работы: от вводных данных до приёмки готового продукта.»; одновременно число абзацных разделителей меняется 41→10, то есть дублирование идёт вместе с перестройкой абзацев",один оценщик,2026-08-01
BLIND-04,да,да,дублирование; структура абзацев,составное воздействие,"в тексте A соседние позиции [3, 4] занимает одно и то же предложение: «Ниже описан метод, позволяющий перейти от формулировки «надо сделать как у них» к плану де»; одновременно число абзацных разделителей меняется 20→5, то есть дублирование идёт вместе с перестройкой абзацев",один оценщик,2026-08-01
BLIND-05,не определяется,нет,другое,неопределённо,тексты совпадают посимвольно; ни одного различия среди предложений длиннее 40 знаков — воздействие на этом документе не проявилось,один оценщик,2026-08-01
BLIND-06,да,да,дублирование; структура абзацев,составное воздействие,"в тексте A соседние позиции [3, 4] занимает одно и то же предложение: «Не нужны опыт работы с панелями вебмастеров, знание HTML и понимание разницы между индекси»; одновременно число абзацных разделителей меняется 11→3, то есть дублирование идёт вместе с перестройкой абзацев",один оценщик,2026-08-01
BLIND-07,да,да,дублирование; структура абзацев,составное воздействие,"в тексте A соседние позиции [3, 4] занимает одно и то же предложение: «Цель этого текста — разобрать корректную работу с многостраничными списками и показать раз»; одновременно число абзацных разделителей меняется 18→7, то есть дублирование идёт вместе с перестройкой абзацев",один оценщик,2026-08-01
BLIND-08,да,да,дублирование; структура абзацев,составное воздействие,"в тексте B соседние позиции [3, 4] занимает одно и то же предложение: «Или еще обиднее: человек стоит прямо возле вашей двери, смотрит в телефон и уходит в другу»; одновременно число абзацных разделителей меняется 9→3, то есть дублирование идёт вместе с перестройкой абзацев",один оценщик,2026-08-01
BLIND-09,да,да,дублирование; структура абзацев,составное воздействие,"в тексте B соседние позиции [3, 4] занимает одно и то же предложение: «Наследуется естественный вопрос: «А куда вообще уходят эти деньги и когда они вернутся с п»; одновременно число абзацных разделителей меняется 20→10, то есть дублирование идёт вместе с перестройкой абзацев",один оценщик,2026-08-01
BLIND-10,да,да,дублирование; структура абзацев,составное воздействие,"в тексте B соседние позиции [3, 4] занимает одно и то же предложение: «Дубль с точки зрения поисковой системы — это не обязательно полностью одинаковая копия.»; одновременно число абзацных разделителей меняется 10→2, то есть дублирование идёт вместе с перестройкой абзацев",один оценщик,2026-08-01
BLIND-11,да,да,дублирование; структура абзацев,составное воздействие,"в тексте B соседние позиции [3, 4] занимает одно и то же предложение: «Для B2B-блога важно учитывать, кому компания продаёт, какие вопросы задают клиенты до сдел»; одновременно число абзацных разделителей меняется 43→27, то есть дублирование идёт вместе с перестройкой абзацев",один оценщик,2026-08-01
BLIND-12,да,да,дублирование; структура абзацев,составное воздействие,"в тексте A соседние позиции [4, 5] занимает одно и то же предложение: «Вес — не магия, а механика: страница получает сигнал значимости, когда на неё ссылаются др»; одновременно число абзацных разделителей меняется 16→2, то есть дублирование идёт вместе с перестройкой абзацев",один оценщик,2026-08-01
BLIND-13,да,да,дублирование; структура абзацев,составное воздействие,"в тексте B соседние позиции [3, 4] занимает одно и то же предложение: «Понимание этой физики позволяет выявлять проблемы индексирования до того, как они отразятс»; одновременно число абзацных разделителей меняется 22→7, то есть дублирование идёт вместе с перестройкой абзацев",один оценщик,2026-08-01
BLIND-14,да,да,дублирование; структура абзацев,составное воздействие,"в тексте B соседние позиции [3, 4] занимает одно и то же предложение: «Ниже — последовательность работ, которую имеет смысл требовать от подрядчика или выполнять»; одновременно число абзацных разделителей меняется 33→14, то есть дублирование идёт вместе с перестройкой абзацев",один оценщик,2026-08-01
BLIND-15,да,нет,структура абзацев; потеря содержания,интерпретируемый стресс-случай,"дословных повторов нет ни в одном тексте; различаются сами блоки — только в одном встречаются разделы «Методы закрытия возражений» и «Как работать с веб-аналитикой», абзацев 53 против 50. Похоже на перемещение блоков, из-за которого в окно попали разные части документа",один оценщик,2026-08-01
BLIND-16,да,да,дублирование; структура абзацев,составное воздействие,"в тексте B соседние позиции [1, 2] занимает одно и то же предложение: «Одна из основных причин, по которой сайт может терять позиции и трафик — возрастающее коли»; одновременно число абзацных разделителей меняется 36→11, то есть дублирование идёт вместе с перестройкой абзацев",один оценщик,2026-08-01
BLIND-17,да,да,дублирование; структура абзацев,составное воздействие,"в тексте B соседние позиции [3, 4] занимает одно и то же предложение: «Корректный список лучше собирать из нескольких источников:

Источник | Что показывает | Ка»; одновременно число абзацных разделителей меняется 41→35, то есть дублирование идёт вместе с перестройкой абзацев",один оценщик,2026-08-01
BLIND-18,да,да,дублирование; структура абзацев,составное воздействие,"в тексте B соседние позиции [3, 4] занимает одно и то же предложение: «Разработчик часто видит задачу так: разбить выборку на страницы по N товаров, вывести кноп»; одновременно число абзацных разделителей меняется 12→4, то есть дублирование идёт вместе с перестройкой абзацев",один оценщик,2026-08-01
BLIND-19,да,да,дублирование; структура абзацев,составное воздействие,"в тексте B соседние позиции [3, 4] занимает одно и то же предложение: «Дубль для поисковой системы — не только дословная копия.»; одновременно число абзацных разделителей меняется 14→2, то есть дублирование идёт вместе с перестройкой абзацев",один оценщик,2026-08-01
BLIND-20,да,да,дублирование; структура абзацев,составное воздействие,"в тексте A соседние позиции [3, 4] занимает одно и то же предложение: «Если вы, как контент-менеджер, правильно расставите эти ссылки, вы защитите позиции сайта,»; одновременно число абзацных разделителей меняется 19→6, то есть дублирование идёт вместе с перестройкой абзацев",один оценщик,2026-08-01
BLIND-21,да,да,дублирование; структура абзацев,составное воздействие,"в тексте A соседние позиции [3, 4] занимает одно и то же предложение: «Он открывает карту, смотрит на рейтинг, фото, часы работы и едет к тому, кто выглядит наде»; одновременно число абзацных разделителей меняется 11→4, то есть дублирование идёт вместе с перестройкой абзацев",один оценщик,2026-08-01
BLIND-22,да,да,дублирование; структура абзацев,составное воздействие,"в тексте B соседние позиции [3, 4] занимает одно и то же предложение: «Универсального числового норматива качества текста нет.»; одновременно число абзацных разделителей меняется 13→4, то есть дублирование идёт вместе с перестройкой абзацев",один оценщик,2026-08-01
BLIND-23,да,да,дублирование; структура абзацев,составное воздействие,"в тексте B соседние позиции [3, 4] занимает одно и то же предложение: «Частота запросов — это лишь верхушка айсберга.»; одновременно число абзацных разделителей меняется 26→4, то есть дублирование идёт вместе с перестройкой абзацев",один оценщик,2026-08-01
BLIND-24,да,да,дублирование; структура абзацев,составное воздействие,"в тексте B соседние позиции [3, 4] занимает одно и то же предложение: «Это не «общий взгляд на сайт», а системная проверка того, как сайт доступен поисковым сист»; одновременно число абзацных разделителей меняется 13→2, то есть дублирование идёт вместе с перестройкой абзацев",один оценщик,2026-08-01
BLIND-25,да,да,дублирование; структура абзацев,составное воздействие,"в тексте B соседние позиции [3, 4] занимает одно и то же предложение: «Человек, зарегистрировавшийся в марте, остаётся в мартовской когорте, даже если он ушёл, в»; одновременно число абзацных разделителей меняется 14→4, то есть дублирование идёт вместе с перестройкой абзацев",один оценщик,2026-08-01
BLIND-26,да,да,дублирование; структура абзацев,составное воздействие,"в тексте A соседние позиции [6, 7] занимает одно и то же предложение: «Отсюда все их особенности и все ошибки интерпретации.»; одновременно число абзацных разделителей меняется 30→15, то есть дублирование идёт вместе с перестройкой абзацев",один оценщик,2026-08-01
BLIND-27,да,да,дублирование; структура абзацев,составное воздействие,"в тексте B соседние позиции [3, 4] занимает одно и то же предложение: «Ниже — рабочий порядок действий для администратора: что проверить до старта, как найти сме»; одновременно число абзацных разделителей меняется 35→23, то есть дублирование идёт вместе с перестройкой абзацев",один оценщик,2026-08-01
BLIND-28,да,нет,структура абзацев; потеря содержания,интерпретируемый стресс-случай,"дословных повторов нет; после общего заголовка тексты расходятся содержанием — в одном «День добрый, друзья. Представляю Вам свой новый учебник по технике внутренней перелинковке», в другом «Привет, старым знакомым!! Вот, не знал, что уже новый сайт образовался»; абзацев поровну, 16 и 16. Похоже на перемещение блоков",один оценщик,2026-08-01
BLIND-29,да,нет,разметка,интерпретируемый стресс-случай,"состав предложений и число абзацев совпадают, 53 и 53; различие — пробел перед знаком препинания: «(по данным MarketingSherpa) . Это» против «(по данным MarketingSherpa). Это», «Landing page идеально подойдет , если» против «подойдет, если»",один оценщик,2026-08-01
BLIND-30,да,да,дублирование; структура абзацев,составное воздействие,"в тексте A соседние позиции [3, 4] занимает одно и то же предложение: «### Зачем группировать запросы

Первичная цель — исключить конкуренцию собственных страниц»; одновременно число абзацных разделителей меняется 14→4, то есть дублирование идёт вместе с перестройкой абзацев",один оценщик,2026-08-01
