case_id,document_id,error_class,model_or_procedure,predicted,actual,triggered_features,alternative_explanation,genre_norm,prompt_effect,length_effect,source_artifact,real_editorial_problem,conclusion,reviewed_by,reviewed_at
FP-001,human_science_cyberleninka_0031,FP,"proc2 clf-v1 main/full, holdout_genre_seo",машина,человек,C02 +16.03; L02 -6.13; L04 +5.33; M01 -5.00; L01 +2.34,,"science, уровень 3",н/п,"1509 слов, терциль: средние",cyberleninka,,pending,,
FP-002,human_science_urfu_0038,FP,"proc2 clf-v1 main/full, holdout_genre_seo",машина,человек,C02 +43.55; L02 -17.05; M01 -9.13; L04 +6.38; L05 -4.35,,"science, уровень 3",н/п,"4569 слов, терциль: длинные",urfu,,pending,,
FP-003,human_science_spbgu_0016,FP,"proc2 clf-v1 main/full, holdout_genre_seo",машина,человек,C02 +24.67; L02 -6.50; L04 +6.05; S02 -3.60; R01 -3.60,,"science, уровень 3",н/п,"1995 слов, терциль: средние",spbgu,,pending,,
FP-004,human_hard_rusltc_0065,FP,"proc2 clf-v1 main/full, holdout_genre_seo",машина,человек,C02 +19.47; M01 -9.49; L02 -6.22; L04 +2.44; L01 +2.35,,"translation, уровень не задан",н/п,"896 слов, терциль: короткие",rusltc,,pending,,
FP-005,human_seo_sosnovskij_0034,FP,"proc2 clf-v1 main/full, holdout_genre_seo",машина,человек,L04 +4.10; R06 -2.03; F01 -1.36; L01 +1.20; C01 +0.82,,"seo, уровень 2",н/п,"3907 слов, терциль: длинные",sosnovskij,,pending,,
FP-006,human_seo_devaka_ru_0001,FP,"proc2 clf-v1 main/full, holdout_genre_seo",машина,человек,C02 +22.65; C01 -4.25; L04 -3.48; L02 -2.50; R06 -2.03,,"seo, уровень 2",н/п,"1591 слов, терциль: средние",devaka_ru,,pending,,
FP-007,human_seo_madcats_0013,FP,"proc2 clf-v1 main/full, holdout_genre_seo",машина,человек,C02 +10.93; M01 +5.67; L02 -5.50; L04 -4.74; P01 +3.11,,"seo, уровень 2",н/п,"1749 слов, терциль: средние",madcats,,pending,,
FP-008,human_seo_sosnovskij_ru_0004,FP,"proc2 clf-v1 main/full, holdout_genre_seo",машина,человек,L04 +3.81; R06 -2.03; F01 -1.36; C02 +1.33; C01 +1.18,,"seo, уровень 2",н/п,"1537 слов, терциль: средние",sosnovskij_ru,,pending,,
FP-009,human_prose_taiga_arzamas_0034,FP,"proc2 clf-v1 main/full, holdout_genre_prose",машина,человек,L01 +0.75; R06 -0.62; C01 -0.53; L02 +0.49; L05 +0.47,,"prose, уровень 0",н/п,"1834 слов, терциль: средние",taiga_arzamas,,pending,,
FP-010,human_seo_drmax_0013,FP,"proc2 clf-v1 main/full, holdout_genre_seo",машина,человек,C02 +13.99; M01 -4.92; L02 -4.65; L04 +2.34; L01 +2.15,,"seo, уровень 2",н/п,"2272 слов, терциль: длинные",drmax,,pending,,
FP-011,human_news_gazeta_0037,FP,"proc2 clf-v1 main/full, holdout_genre_seo",машина,человек,C02 +7.99; C01 -6.76; R06 -2.03; F01 -1.36; L02 +1.21,,"news, уровень 1",н/п,"740 слов, терциль: короткие",gazeta,,pending,,
FP-012,human_seo_texterra_ru_0005,FP,"proc2 clf-v1 main/full, holdout_genre_seo",машина,человек,L02 -9.77; L04 +7.77; C02 +3.63; M01 -3.09; L01 +3.01,,"seo, уровень 2",н/п,"2340 слов, терциль: длинные",texterra_ru,,pending,,
FP-013,human_prose_taiga_proza_0023,FP,"proc2 clf-v1 main/full, holdout_genre_prose",машина,человек,L01 +2.00; L02 +0.74; R06 -0.62; F01 -0.43; D04 -0.35,,"prose, уровень 0",н/п,"4327 слов, терциль: длинные",taiga_proza,,pending,,
FP-014,human_news_buriy_2014_0019,FP,"proc2 clf-v1 main/full, holdout_genre_seo",машина,человек,C02 +18.98; C01 -8.89; L02 -2.48; R06 -2.03; L01 +1.68,,"news, уровень 1",н/п,"940 слов, терциль: короткие",buriy_2014,,pending,,
FP-015,human_seo_drmax_su_0003,FP,"proc2 clf-v1 main/full, holdout_genre_seo",машина,человек,C02 +21.99; L02 -11.20; M01 -5.82; L01 +3.24; L04 -2.30,,"seo, уровень 2",н/п,"1115 слов, терциль: средние",drmax_su,,pending,,
FP-016,human_seo_madcats_ru_0004,FP,"proc2 clf-v1 main/full, holdout_genre_seo",машина,человек,L04 +3.50; C02 +2.83; R06 -2.03; M01 -1.64; F01 -1.36,,"seo, уровень 2",н/п,"2426 слов, терциль: длинные",madcats_ru,,pending,,
FP-017,human_seo_seopulses_0025,FP,"proc2 clf-v1 main/full, holdout_genre_seo",машина,человек,C02 +3.65; L02 -2.46; R06 -2.03; M01 -1.97; L01 +1.77,,"seo, уровень 2",н/п,"727 слов, терциль: короткие",seopulses,,pending,,
