document_id,index_recomputed,index_score_v2,delta,features_common,features_format
deepseek_pro_b002_P3_r1,39.0097,39.0097,-0.0000,18,4
deepseek_pro_b004_P2_r1,63.7681,63.7681,0.0000,18,4
deepseek_pro_b007_P3_r2,47.5845,47.5845,0.0000,18,4
deepseek_pro_b009_P1_r1,49.1546,49.1546,-0.0000,18,4
deepseek_pro_b009_P2_r2,52.5362,53.0797,-0.5435,18,4
deepseek_pro_b021_P2_r2,59.8430,59.8430,-0.0000,18,4
deepseek_pro_b037_P2_r2,61.2923,61.2923,-0.0000,18,4
deepseek_pro_b038_P1_r2,43.0556,43.0556,-0.0000,18,4
gpt_b004_P1_r1,41.5459,41.5459,-0.0000,18,4
gpt_b004_P3_r1,35.0242,35.0242,-0.0000,18,4
gpt_b021_P3_r2,52.4155,52.4155,-0.0000,18,4
gpt_b026_P1_r1,61.1715,61.1715,-0.0000,18,4
gpt_b028_P2_r1,43.7802,43.7802,-0.0000,18,4
gpt_b031_P1_r1,29.7705,29.7705,0.0000,18,4
gpt_b040_P2_r1,60.1449,60.1449,0.0000,18,4
human_hard_rusltc_0001,43.5990,45.2899,-1.6909,18,4
human_hard_rusltc_0002,46.7391,46.7391,0.0000,18,4
human_hard_rusltc_0003,51.2681,51.2681,0.0000,18,4
human_hard_rusltc_0055,40.5797,40.5797,0.0000,18,4
human_hard_rusltc_0068,17.3913,17.3913,0.0000,17,4
human_hard_rusltc_0073,54.8309,54.8309,0.0000,17,4
human_news_buriy_2014_0027,29.3478,29.3478,0.0000,18,4
human_news_buriy_2014_0034,47.2222,47.2222,0.0000,18,4
human_news_gazeta_0031,36.3527,36.3527,-0.0000,17,4
human_news_gazeta_0040,28.0193,29.1063,-1.0870,17,4
human_news_lenta_0001,49.2150,49.2150,-0.0000,17,4
human_news_lenta_0016,61.2319,61.2319,-0.0000,17,4
human_prose_taiga_arzamas_0050,26.2077,26.2077,0.0000,18,4
human_prose_taiga_arzamas_0051,39.0097,39.0097,-0.0000,18,4
human_prose_taiga_magazines_0048,56.5821,55.1329,1.4492,18,4
human_prose_taiga_magazines_0053,17.2101,17.2101,0.0000,18,4
human_prose_taiga_proza_0034,34.0580,34.0580,-0.0000,18,4
human_prose_taiga_proza_0056,37.0169,37.0169,0.0000,18,4
human_science_cyberleninka_0026,35.0845,35.0845,0.0000,18,4
human_science_cyberleninka_0031,41.1836,41.1836,-0.0000,18,4
human_science_cyberleninka_0032,33.9372,37.5604,-3.6232,18,4
human_science_cyberleninka_0053,46.7995,46.7995,0.0000,18,4
human_science_spbgu_0024,51.9324,51.9324,-0.0000,18,4
human_science_urfu_0028,41.7874,41.7874,0.0000,18,4
human_seo_alaev_0004,37.8623,37.8623,0.0000,18,4
human_seo_convertmonster_0001,28.3816,28.3816,0.0000,18,4
human_seo_devaka_ru_0004,36.9565,36.9565,0.0000,18,4
human_seo_drmax_0002,38.1039,38.1039,-0.0000,18,4
human_seo_drmax_su_0001,29.7101,29.7101,0.0000,18,4
human_seo_labrika_0002,26.1473,26.1473,0.0000,18,4
nemotron_b012_P1_r1,53.3213,53.3213,-0.0000,18,4
nemotron_b015_P3_r2,61.7754,61.7754,-0.0000,18,4
nemotron_b016_P1_r1,52.5362,52.5362,0.0000,18,4
nemotron_b022_P3_r2,38.8889,38.8889,-0.0000,18,4
nemotron_b028_P1_r2,65.2778,65.2778,-0.0000,18,4
nemotron_b033_P2_r2,61.5942,60.1449,1.4493,18,4
nemotron_b038_P1_r2,55.1932,55.1932,0.0000,18,4
real_claude_b015_P2_r1,58.5145,58.5145,-0.0000,18,4
real_claude_b018_P3_r2,45.7126,45.7126,-0.0000,18,4
real_claude_b024_P1_r2,53.4420,53.4420,0.0000,18,4
real_claude_b025_P2_r1,46.2560,46.2560,0.0000,18,4
real_claude_b034_P2_r2,72.8865,72.8865,-0.0000,18,4
real_claude_b040_P3_r2,43.7198,43.7198,0.0000,18,4
real_claude_b042_P3_r2,29.0459,29.0459,-0.0000,18,4
real_claude_b045_P3_r1,53.5024,53.5024,0.0000,18,4
