document_id,origin_class,genre,prompt_condition,generation_channel,split_group_source,revision_family_id,word_count
deepseek_pro_b002_P3_r1,A,seo,P3,deepseek_pro,deepseek_pro,deepseek_pro_b002_P3_r1,1218
deepseek_pro_b004_P2_r1,A,seo,P2,deepseek_pro,deepseek_pro,deepseek_pro_b004_P2_r1,1740
deepseek_pro_b007_P3_r2,A,seo,P3,deepseek_pro,deepseek_pro,deepseek_pro_b007_P3_r2,1718
deepseek_pro_b009_P1_r1,A,seo,P1,deepseek_pro,deepseek_pro,deepseek_pro_b009_P1_r1,1766
deepseek_pro_b009_P2_r2,A,seo,P2,deepseek_pro,deepseek_pro,deepseek_pro_b009_P2_r2,1538
deepseek_pro_b021_P2_r2,A,analytics,P2,deepseek_pro,deepseek_pro,deepseek_pro_b021_P2_r2,941
deepseek_pro_b037_P2_r2,A,commercial,P2,deepseek_pro,deepseek_pro,deepseek_pro_b037_P2_r2,1548
deepseek_pro_b038_P1_r2,A,commercial,P1,deepseek_pro,deepseek_pro,deepseek_pro_b038_P1_r2,2068
gpt_b004_P1_r1,A,seo,P1,gpt,gpt,gpt_b004_P1_r1,1230
gpt_b004_P3_r1,A,seo,P3,gpt,gpt,gpt_b004_P3_r1,1202
gpt_b021_P3_r2,A,analytics,P3,gpt,gpt,gpt_b021_P3_r2,1302
gpt_b026_P1_r1,A,analytics,P1,gpt,gpt,gpt_b026_P1_r1,1489
gpt_b028_P2_r1,A,analytics,P2,gpt,gpt,gpt_b028_P2_r1,1617
gpt_b031_P1_r1,A,commercial,P1,gpt,gpt,gpt_b031_P1_r1,1392
gpt_b040_P2_r1,A,commercial,P2,gpt,gpt,gpt_b040_P2_r1,1656
human_hard_rusltc_0001,H,translation,,,rusltc:source-101,human_hard_rusltc_0001,742
human_hard_rusltc_0002,H,translation,,,rusltc:source-134,human_hard_rusltc_0002,960
human_hard_rusltc_0003,H,translation,,,rusltc:source-140,human_hard_rusltc_0003,1571
human_hard_rusltc_0055,H,translation,,,rusltc:source-16,human_hard_rusltc_0055,784
human_hard_rusltc_0068,H,translation,,,rusltc:source-15,human_hard_rusltc_0068,811
human_hard_rusltc_0073,H,translation,,,rusltc:source-10,human_hard_rusltc_0073,1564
human_news_buriy_2014_0027,H,news,,,buriy_2014,human_news_buriy_2014_0027,782
human_news_buriy_2014_0034,H,news,,,buriy_2014,human_news_buriy_2014_0034,1165
human_news_gazeta_0031,H,news,,,gazeta,human_news_gazeta_0031,921
human_news_gazeta_0040,H,news,,,gazeta,human_news_gazeta_0040,859
human_news_lenta_0001,H,news,,,lenta,human_news_lenta_0001,704
human_news_lenta_0016,H,news,,,lenta,human_news_lenta_0016,943
human_prose_taiga_arzamas_0050,H,prose,,,taiga_arzamas,human_prose_taiga_arzamas_0050,1540
human_prose_taiga_arzamas_0051,H,prose,,,taiga_arzamas,human_prose_taiga_arzamas_0051,1468
human_prose_taiga_magazines_0048,H,prose,,,taiga_magazines,human_prose_taiga_magazines_0048,3542
human_prose_taiga_magazines_0053,H,prose,,,taiga_magazines,human_prose_taiga_magazines_0053,753
human_prose_taiga_proza_0034,H,prose,,,taiga_proza,human_prose_taiga_proza_0034,763
human_prose_taiga_proza_0056,H,prose,,,taiga_proza,human_prose_taiga_proza_0056,1297
human_science_cyberleninka_0026,H,science,,,Институт проблем освоения Севера Сибирского отделения Российской академии наук,human_science_cyberleninka_0026,1721
human_science_cyberleninka_0031,H,science,,,Государственное образовательное учреждение высшего профессионального образования «Национальный исследовательский Томский политехнический университет»,human_science_cyberleninka_0031,1509
human_science_cyberleninka_0032,H,science,,,ООО «ГРУППА РЕМЕДИУМ»,human_science_cyberleninka_0032,1188
human_science_cyberleninka_0053,H,science,,,Институт энергетики Академии наук Молдовы,human_science_cyberleninka_0053,4693
human_science_spbgu_0024,H,science,,,spbgu,human_science_spbgu_0024,2962
human_science_urfu_0028,H,science,,,urfu,human_science_urfu_0028,4905
human_seo_alaev_0004,H,seo,,,alaev,human_seo_alaev_0004,2345
human_seo_convertmonster_0001,H,seo,,,convertmonster,human_seo_convertmonster_0001,735
human_seo_devaka_ru_0004,H,seo,,,devaka_ru,human_seo_devaka_ru_0004,1742
human_seo_drmax_0002,H,seo,,,drmax,human_seo_drmax_0002,3830
human_seo_drmax_su_0001,H,seo,,,drmax_su,human_seo_drmax_su_0001,2361
human_seo_labrika_0002,H,seo,,,labrika,human_seo_labrika_0002,2611
nemotron_b012_P1_r1,A,seo,P1,nemotron,nemotron,nemotron_b012_P1_r1,2197
nemotron_b015_P3_r2,A,seo,P3,nemotron,nemotron,nemotron_b015_P3_r2,2177
nemotron_b016_P1_r1,A,analytics,P1,nemotron,nemotron,nemotron_b016_P1_r1,2103
nemotron_b022_P3_r2,A,analytics,P3,nemotron,nemotron,nemotron_b022_P3_r2,1551
nemotron_b028_P1_r2,A,analytics,P1,nemotron,nemotron,nemotron_b028_P1_r2,2610
nemotron_b033_P2_r2,A,commercial,P2,nemotron,nemotron,nemotron_b033_P2_r2,1426
nemotron_b038_P1_r2,A,commercial,P1,nemotron,nemotron,nemotron_b038_P1_r2,2694
real_claude_b015_P2_r1,A,seo,P2,real_claude,real_claude,real_claude_b015_P2_r1,1802
real_claude_b018_P3_r2,A,analytics,P3,real_claude,real_claude,real_claude_b018_P3_r2,1423
real_claude_b024_P1_r2,A,analytics,P1,real_claude,real_claude,real_claude_b024_P1_r2,1573
real_claude_b025_P2_r1,A,analytics,P2,real_claude,real_claude,real_claude_b025_P2_r1,1502
real_claude_b034_P2_r2,A,commercial,P2,real_claude,real_claude,real_claude_b034_P2_r2,1747
real_claude_b040_P3_r2,A,commercial,P3,real_claude,real_claude,real_claude_b040_P3_r2,1378
real_claude_b042_P3_r2,A,commercial,P3,real_claude,real_claude,real_claude_b042_P3_r2,1396
real_claude_b045_P3_r1,A,commercial,P3,real_claude,real_claude,real_claude_b045_P3_r1,1623
