document_id,source,role,url,snapshot,repeat_raw,repeat_full,repeat_prose,repeat_origin,origin_checked,origin_verdict
human_news_lenta_0003,lenta,поражённый,https://lenta.ru/news/2010/04/22/freeze/,,0.8333,0.8333,0.8333,0.9792,датасет corus lenta-ru-news,повтор есть в оригинале — не редактировать
human_news_lenta_0005,lenta,поражённый,https://lenta.ru/news/2010/03/10/parliament/,,0.75,0.75,0.75,0.9583,датасет corus lenta-ru-news,повтор есть в оригинале — не редактировать
human_news_lenta_0006,lenta,поражённый,https://lenta.ru/news/2010/03/10/against/,,0.8511,0.8511,0.8511,0.9677,датасет corus lenta-ru-news,повтор есть в оригинале — не редактировать
human_news_lenta_0008,lenta,поражённый,https://lenta.ru/news/2010/04/06/alternative/,,0.7647,0.7647,0.7647,0.9815,датасет corus lenta-ru-news,повтор есть в оригинале — не редактировать
human_news_lenta_0011,lenta,поражённый,https://lenta.ru/news/2010/06/29/tekebaev/,,0.75,0.75,0.75,0.9535,датасет corus lenta-ru-news,повтор есть в оригинале — не редактировать
human_news_lenta_0019,lenta,поражённый,https://lenta.ru/news/2010/06/01/jail/,,0.8108,0.8108,0.8108,0.9167,датасет corus lenta-ru-news,повтор есть в оригинале — не редактировать
human_news_lenta_0020,lenta,поражённый,https://lenta.ru/news/2010/04/29/detain1/,,0.8478,0.8478,0.8478,0.9623,датасет corus lenta-ru-news,повтор есть в оригинале — не редактировать
human_news_lenta_0025,lenta,поражённый,https://lenta.ru/news/2010/01/18/shot/,,0.881,0.881,0.881,0.963,датасет corus lenta-ru-news,повтор есть в оригинале — не редактировать
human_news_lenta_0026,lenta,поражённый,https://lenta.ru/news/2010/05/05/vaporize/,,0.8372,0.8372,0.8372,0.9655,датасет corus lenta-ru-news,повтор есть в оригинале — не редактировать
human_news_lenta_0028,lenta,поражённый,https://lenta.ru/news/2009/11/20/instant/,,0.8478,0.8478,0.8478,0.9672,датасет corus lenta-ru-news,повтор есть в оригинале — не редактировать
human_news_lenta_0030,lenta,поражённый,https://lenta.ru/news/2010/03/27/titanic/,,0.5882,0.5882,0.5882,0.9677,датасет corus lenta-ru-news,повтор есть в оригинале — не редактировать
human_news_lenta_0031,lenta,поражённый,https://lenta.ru/news/2010/02/09/greet/,,0.7667,0.7667,0.7667,0.9804,датасет corus lenta-ru-news,повтор есть в оригинале — не редактировать
human_news_lenta_0032,lenta,поражённый,https://lenta.ru/news/2010/04/16/refuse/,,0.8049,0.8049,0.8049,0.9677,датасет corus lenta-ru-news,повтор есть в оригинале — не редактировать
human_news_lenta_0033,lenta,поражённый,https://lenta.ru/news/2010/01/19/cancel/,,0.8409,0.8409,0.8409,0.9828,датасет corus lenta-ru-news,повтор есть в оригинале — не редактировать
human_news_lenta_0035,lenta,поражённый,https://lenta.ru/news/2010/04/06/case1/,,0.7838,0.7838,0.7838,0.9655,датасет corus lenta-ru-news,повтор есть в оригинале — не редактировать
human_news_lenta_0037,lenta,поражённый,https://lenta.ru/news/2010/01/10/elections/,,0.8182,0.8182,0.8182,0.9692,датасет corus lenta-ru-news,повтор есть в оригинале — не редактировать
human_news_lenta_0038,lenta,поражённый,https://lenta.ru/news/2010/03/24/nota/,,0.7586,0.7586,0.7586,0.9545,датасет corus lenta-ru-news,повтор есть в оригинале — не редактировать
human_news_lenta_0043,lenta,поражённый,https://lenta.ru/news/2009/12/08/laar/,,0.7742,0.7742,0.7742,0.9565,датасет corus lenta-ru-news,повтор есть в оригинале — не редактировать
human_news_lenta_0047,lenta,поражённый,https://lenta.ru/news/2010/06/10/yanukovich/,,0.8571,0.8571,0.8571,0.9868,датасет corus lenta-ru-news,повтор есть в оригинале — не редактировать
human_news_lenta_0048,lenta,поражённый,https://lenta.ru/news/2010/02/23/party/,,0.7843,0.7843,0.7843,0.9895,датасет corus lenta-ru-news,повтор есть в оригинале — не редактировать
human_news_lenta_0050,lenta,поражённый,https://lenta.ru/news/2009/12/29/less/,,0.7778,0.7778,0.7778,0.9649,датасет corus lenta-ru-news,повтор есть в оригинале — не редактировать
human_news_lenta_0052,lenta,поражённый,https://lenta.ru/news/2010/05/25/minister/,,0.8333,0.8333,0.8333,0.9649,датасет corus lenta-ru-news,повтор есть в оригинале — не редактировать
human_news_lenta_0054,lenta,поражённый,https://lenta.ru/news/2010/01/26/against/,,0.7857,0.7857,0.7857,0.9714,датасет corus lenta-ru-news,повтор есть в оригинале — не редактировать
human_news_lenta_0056,lenta,поражённый,https://lenta.ru/news/2009/10/29/charge/,,0.7941,0.7941,0.7941,0.963,датасет corus lenta-ru-news,повтор есть в оригинале — не редактировать
human_news_lenta_0057,lenta,поражённый,https://lenta.ru/news/2010/02/26/save/,,0.7632,0.7632,0.7632,0.9846,датасет corus lenta-ru-news,повтор есть в оригинале — не редактировать
human_news_lenta_0058,lenta,поражённый,https://lenta.ru/news/2010/04/19/mvd/,,0.7879,0.7879,0.7879,0.9787,датасет corus lenta-ru-news,повтор есть в оригинале — не редактировать
human_news_lenta_0059,lenta,поражённый,https://lenta.ru/news/2009/11/12/refuse/,,0.7949,0.7949,0.7949,0.9667,датасет corus lenta-ru-news,повтор есть в оригинале — не редактировать
human_news_lenta_0060,lenta,поражённый,https://lenta.ru/news/2010/06/03/prosecutor/,,0.8462,0.8462,0.8462,0.9592,датасет corus lenta-ru-news,повтор есть в оригинале — не редактировать
human_seo_drmax_0001,drmax,поражённый,https://drmax.su/cpu-sefu-unused-vozmozhnosti-seo.html,,0.2373,0.2373,0.2414,,,источник оригинала не определён
human_seo_drmax_0002,drmax,поражённый,https://drmax.su/kak-analizirovat-perelinkovku-sajta.html,,0.6174,0.6174,0.6201,,,источник оригинала не определён
human_seo_drmax_0003,drmax,поражённый,https://drmax.su/backlinks-analiz-kachestva.html,,0.7014,0.7081,0.7255,,,источник оригинала не определён
human_seo_drmax_0004,drmax,поражённый,https://drmax.su/outlinks-seo-factors.html,,0.5592,0.5592,0.5646,,,источник оригинала не определён
human_seo_drmax_0005,drmax,поражённый,https://drmax.su/8-google-update.html,,0.3245,0.3245,0.3267,,,источник оригинала не определён
human_seo_drmax_0006,drmax,поражённый,https://drmax.su/10-faktorov-ne-vliyayushhih-na-ranzhirovanie.html,,0.33,0.33,0.3166,,,источник оригинала не определён
human_seo_drmax_0007,drmax,поражённый,https://drmax.su/48-j-sposob-uvelichit-trafik-na-sajte.html,,0.2326,0.2326,0.2344,,,источник оригинала не определён
human_seo_drmax_0008,drmax,поражённый,https://drmax.su/bold-i-strong-vredyat.html,,0.5472,0.5472,0.5472,,,источник оригинала не определён
human_seo_drmax_0009,drmax,поражённый,https://drmax.su/yandex-optimizatsiya-2018.html,,0.4556,0.4556,0.4607,,,источник оригинала не определён
human_seo_drmax_0010,drmax,поражённый,https://drmax.su/re-optimizatsiya-kontenta.html,,0.4828,0.4828,0.4878,,,источник оригинала не определён
human_seo_drmax_0011,drmax,поражённый,https://drmax.su/crack-wordpress.html,,0.2751,0.2737,0.2781,,,источник оригинала не определён
human_seo_drmax_0012,drmax,поражённый,https://drmax.su/voice-search-seo-2018.html,,0.2108,0.2108,0.212,,,источник оригинала не определён
human_seo_drmax_0013,drmax,поражённый,https://drmax.su/seoguru-2018.html,,0.3136,0.3136,0.3274,,,источник оригинала не определён
human_seo_drmax_0014,drmax,поражённый,https://drmax.su/mobile-first-index.html,,0.3259,0.3134,0.3158,,,источник оригинала не определён
human_seo_drmax_0016,drmax,поражённый,https://drmax.su/padaet-trafik-google.html,,0.3984,0.3984,0.3984,,,источник оригинала не определён
human_seo_drmax_0017,drmax,поражённый,https://drmax.su/robots-txt-dlya-sajta.html,,0.4727,0.4727,0.4919,,,источник оригинала не определён
human_seo_drmax_0018,drmax,поражённый,https://drmax.su/recovering-from-googles-medic-update.html,,0.3051,0.2831,0.2395,,,источник оригинала не определён
human_seo_drmax_0019,drmax,поражённый,https://drmax.su/bert-algorithm-update.html,,0.1587,0.1587,0.1604,,,источник оригинала не определён
human_seo_drmax_0020,drmax,поражённый,https://drmax.su/measure-e-a-t.html,,0.2263,0.2263,0.2313,,,источник оригинала не определён
