case_id,document_id,error_class,model_or_procedure,predicted,actual,triggered_features,alternative_explanation,genre_norm,prompt_effect,length_effect,source_artifact,real_editorial_problem,conclusion,reviewed_by,reviewed_at
FP-001,human_news_lenta_0019,FP,"proc2 clf-v1 main/full, holdout_author",машина,человек,L04 +3.10; C01 -2.02; M01 +1.63; R06 -1.08; S08 -0.83,"артефакт источника: хвост заметки продублирован каскадом, доля повторяющихся предложений 0.811; NLL 0.886 при медиане корпуса 3.09","news, уровень 1",н/п,"710 слов, терциль: короткие",lenta,нет,документ размечен верно но извлечён неверно: случай снимается как свидетельство,ассистент,2026-07-29
FP-002,human_science_cyberleninka_0036,FP,"proc2 clf-v1 main/full, holdout_genre_commercial",машина,человек,L05 +3.28; F01 -2.34; R06 -1.59; L02 -1.53; C01 -1.12,следы разбора двухколоночного PDF: склейка строк соседних колонок и разрывы слов переносами; связь с FPR не подтверждена — выше медианы переносов 40.0% против 43.3% ниже,"science, уровень 3",н/п,"2354 слов, терциль: длинные",cyberleninka,не установлено,случай неразрешим на текущих данных: причина FPR источника остаётся открытой,ассистент,2026-07-29
FP-003,human_hard_rusltc_0026,FP,"proc2 clf-v1 main/full, holdout_genre_prose",машина,человек,F01 -7.94; P01 +4.67; R07 -3.60; R06 -3.29; C01 -2.54,,"translation, уровень не задан",н/п,"1044 слов, терциль: средние",rusltc,,pending,,
FP-004,human_seo_drmax_0003,FP,"proc2 clf-v1 main/full, holdout_genre_seo",машина,человек,L04 +3.33; S08 +0.98; R06 -0.55; L05 -0.50; C02 +0.47,"артефакт источника: доля повторяющихся предложений 0.726, у источника drmax поражено 95.7% документов; стиль текста разговорный и живой","seo, уровень 2",н/п,"3819 слов, терциль: длинные",drmax,нет,тот же дефект извлечения что у lenta: случай снимается как свидетельство,ассистент,2026-07-29
FP-005,human_prose_taiga_arzamas_0034,FP,"proc2 clf-v1 main/full, holdout_genre_prose",машина,человек,F01 -7.94; P01 +4.67; R07 -3.60; R06 -3.29; L05 +1.63,,"prose, уровень 0",н/п,"1834 слов, терциль: средние",taiga_arzamas,,pending,,
FP-006,human_news_gazeta_0002,FP,"proc2 clf-v1 main/full, holdout_genre_prose",машина,человек,F01 -7.94; P01 +4.67; R07 -3.60; R06 -3.29; C01 -1.99,,"news, уровень 1",н/п,"715 слов, терциль: короткие",gazeta,,pending,,
FP-007,human_seo_sosnovskij_0025,FP,"proc2 clf-v1 main/full, holdout_genre_seo",машина,человек,R06 -0.55; L04 +0.38; F01 -0.34; P01 -0.14; S06 -0.13,,"seo, уровень 2",н/п,"4335 слов, терциль: длинные",sosnovskij,,pending,,
FP-008,human_seo_texterra_ru_0014,FP,"proc2 clf-v1 main/full, holdout_genre_seo",машина,человек,L04 +4.47; S08 +1.15; L02 -0.63; R06 -0.55; D05 -0.54,"артефакт источника: в документ попало меню и формы сайта, блок повторён трижды, доля повторов 0.896; правило 2.2 preprocessing-spec обёртку не сняло","seo, уровень 2",н/п,"1977 слов, терциль: средние",texterra_ru,нет,ошибочен вход а не признак: документ измеряет вёрстку страницы,ассистент,2026-07-29
FP-009,human_science_urfu_0032,FP,"proc2 clf-v1 main/full, holdout_genre_commercial",машина,человек,L05 +2.89; F01 -2.34; R06 -1.59; D04 +1.26; M01 -1.14,,"science, уровень 3",н/п,"4535 слов, терциль: длинные",urfu,,pending,,
FP-010,human_prose_taiga_proza_0007,FP,"proc2 clf-v1 main/full, holdout_genre_prose",машина,человек,F01 -7.94; D04 +4.96; P01 +4.37; R07 -3.60; R06 -3.29,,"prose, уровень 0",н/п,"742 слов, терциль: короткие",taiga_proza,,pending,,
