original_document_id,transformation_id,transformation,meaning_preserving,origin_class,genre,prompt_condition,generation_channel,index_baseline,index_transformed,delta,abs_delta,unstable,features_common,features_format,weight_common,weight_format,dropped_categories,m02_missing,applied_no_change,input_unchanged
deepseek_pro_b002_P3_r1,1,замена длинных тире,1,A,seo,P3,deepseek_pro,39.0097,39.0097,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,0,0
deepseek_pro_b004_P2_r1,1,замена длинных тире,1,A,seo,P2,deepseek_pro,63.7681,63.7681,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,0,0
deepseek_pro_b007_P3_r2,1,замена длинных тире,1,A,seo,P3,deepseek_pro,47.5845,47.5845,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,0,0
deepseek_pro_b009_P1_r1,1,замена длинных тире,1,A,seo,P1,deepseek_pro,49.1546,49.1546,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,0,0
deepseek_pro_b009_P2_r2,1,замена длинных тире,1,A,seo,P2,deepseek_pro,52.5362,52.5362,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,0,0
deepseek_pro_b021_P2_r2,1,замена длинных тире,1,A,analytics,P2,deepseek_pro,59.8430,59.8430,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,0,0
deepseek_pro_b037_P2_r2,1,замена длинных тире,1,A,commercial,P2,deepseek_pro,61.2923,61.2923,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,0,0
deepseek_pro_b038_P1_r2,1,замена длинных тире,1,A,commercial,P1,deepseek_pro,43.0556,43.0556,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,0,0
gpt_b004_P1_r1,1,замена длинных тире,1,A,seo,P1,gpt,41.5459,41.5459,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,0,0
gpt_b004_P3_r1,1,замена длинных тире,1,A,seo,P3,gpt,35.0242,35.0242,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,0,0
gpt_b021_P3_r2,1,замена длинных тире,1,A,analytics,P3,gpt,52.4155,52.4155,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,0,0
gpt_b026_P1_r1,1,замена длинных тире,1,A,analytics,P1,gpt,61.1715,61.1715,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,0,0
gpt_b028_P2_r1,1,замена длинных тире,1,A,analytics,P2,gpt,43.7802,43.7802,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,0,0
gpt_b031_P1_r1,1,замена длинных тире,1,A,commercial,P1,gpt,29.7705,29.7705,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,0,0
gpt_b040_P2_r1,1,замена длинных тире,1,A,commercial,P2,gpt,60.1449,60.1449,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,0,0
human_hard_rusltc_0001,1,замена длинных тире,1,H,translation,,,43.5990,43.5990,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,0,0
human_hard_rusltc_0002,1,замена длинных тире,1,H,translation,,,46.7391,46.7391,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,0,0
human_hard_rusltc_0003,1,замена длинных тире,1,H,translation,,,51.2681,51.2681,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,0,0
human_hard_rusltc_0055,1,замена длинных тире,1,H,translation,,,40.5797,40.5797,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,1,1
human_hard_rusltc_0068,1,замена длинных тире,1,H,translation,,,17.3913,17.3913,0.0000,0.0000,0,17,4,0.5700,0.1200,,1,0,0
human_hard_rusltc_0073,1,замена длинных тире,1,H,translation,,,54.8309,54.8309,0.0000,0.0000,0,17,4,0.5700,0.1200,,1,1,1
human_news_buriy_2014_0027,1,замена длинных тире,1,H,news,,,29.3478,29.3478,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,0,0
human_news_buriy_2014_0034,1,замена длинных тире,1,H,news,,,47.2222,47.2222,0.0000,0.0000,0,18,4,0.5700,0.1200,,0,0,0
human_news_gazeta_0031,1,замена длинных тире,1,H,news,,,36.3527,33.4541,-2.8986,2.8986,0,17,4,0.5700,0.1200,,1,0,0
human_news_gazeta_0040,1,замена длинных тире,1,H,news,,,28.0193,28.0193,0.0000,0.0000,0,17,4,0.5700,0.1200,,1,0,0
