Преобразование,Процедура,Ячеек,Единица,Медиана |Δ|,Максимум |Δ|,Доля событий нестабильности,Правило события
t01 замена тире,1 — индекс стиля,60,документ,0.000,4.348,0.000,|Δ| > 5.0 пункта
t01 замена тире,2 — классификатор,464,пара документ × модель,0.000,0.029,0.000,|Δp| > 0.05 и смена решения
t01 замена тире,3 — zero-shot NLL,60,документ,0.0019,0.0095,—,порог не применяется
t01 замена тире,4 — модель-судья,60,документ,0.000,20.000,0.033,|Δ| > 5.0 пункта по медиане трёх сидов
t02 снятие markdown,1 — индекс стиля,60,документ,0.000,9.179,0.067,|Δ| > 5.0 пункта
t02 снятие markdown,2 — классификатор,464,пара документ × модель,0.000,0.966,0.023,|Δp| > 0.05 и смена решения
t02 снятие markdown,3 — zero-shot NLL,60,документ,0.0000,0.0491,—,порог не применяется
t02 снятие markdown,4 — модель-судья,60,документ,0.000,10.000,0.033,|Δ| > 5.0 пункта по медиане трёх сидов
t03 срезание заголовков,1 — индекс стиля,60,документ,0.000,4.348,0.000,|Δ| > 5.0 пункта
t03 срезание заголовков,2 — классификатор,464,пара документ × модель,0.000,0.493,0.003,|Δp| > 0.05 и смена решения
t03 срезание заголовков,3 — zero-shot NLL,60,документ,0.0000,0.0000,—,порог не применяется
t03 срезание заголовков,4 — модель-судья,60,документ,0.000,0.000,0.000,|Δ| > 5.0 пункта по медиане трёх сидов
t04 перестановка абзацев,1 — индекс стиля,60,документ,1.449,17.391,0.267,|Δ| > 5.0 пункта
t04 перестановка абзацев,2 — классификатор,464,пара документ × модель,0.000,0.825,0.055,|Δp| > 0.05 и смена решения
t04 перестановка абзацев,3 — zero-shot NLL,60,документ,0.0279,0.3430,—,порог не применяется
t04 перестановка абзацев,4 — модель-судья,60,документ,0.000,43.000,0.133,|Δ| > 5.0 пункта по медиане трёх сидов
t05 исправление пунктуации,1 — индекс стиля,60,документ,0.000,15.217,0.100,|Δ| > 5.0 пункта
t05 исправление пунктуации,2 — классификатор,464,пара документ × модель,0.000,0.320,0.017,|Δp| > 0.05 и смена решения
t05 исправление пунктуации,3 — zero-shot NLL,60,документ,0.0066,0.0944,—,порог не применяется
t05 исправление пунктуации,4 — модель-судья,60,документ,0.000,7.000,0.050,|Δ| > 5.0 пункта по медиане трёх сидов
t10 сокращение текста,1 — индекс стиля,60,документ,5.556,21.618,0.567,|Δ| > 5.0 пункта
t10 сокращение текста,2 — классификатор,464,пара документ × модель,0.005,0.825,0.015,|Δp| > 0.05 и смена решения
t10 сокращение текста,3 — zero-shot NLL,60,документ,0.1584,0.5387,—,порог не применяется
t10 сокращение текста,4 — модель-судья,60,документ,0.000,10.000,0.117,|Δ| > 5.0 пункта по медиане трёх сидов
t11 расширение текста,1 — индекс стиля,60,документ,5.616,24.275,0.567,|Δ| > 5.0 пункта
t11 расширение текста,2 — классификатор,464,пара документ × модель,0.025,1.000,0.451,|Δp| > 0.05 и смена решения
t11 расширение текста,3 — zero-shot NLL,60,документ,0.4366,0.5900,—,порог не применяется
t11 расширение текста,4 — модель-судья,60,документ,3.000,10.000,0.233,|Δ| > 5.0 пункта по медиане трёх сидов
t13 опечатки,1 — индекс стиля,60,документ,0.000,8.696,0.050,|Δ| > 5.0 пункта
t13 опечатки,2 — классификатор,464,пара документ × модель,0.000,0.339,0.001,|Δp| > 0.05 и смена решения
t13 опечатки,3 — zero-shot NLL,60,документ,0.1207,0.1748,—,порог не применяется
t13 опечатки,4 — модель-судья,60,документ,0.000,4.000,0.000,|Δ| > 5.0 пункта по медиане трёх сидов
t15 гомоглифы,1 — индекс стиля,60,документ,0.000,4.348,0.000,|Δ| > 5.0 пункта
t15 гомоглифы,2 — классификатор,464,пара документ × модель,0.000,0.333,0.001,|Δp| > 0.05 и смена решения
t15 гомоглифы,3 — zero-shot NLL,60,документ,0.0216,0.0604,—,порог не применяется
t15 гомоглифы,4 — модель-судья,60,документ,0.000,10.000,0.033,|Δ| > 5.0 пункта по медиане трёх сидов
t16 перенос между форматами,1 — индекс стиля,60,документ,0.000,15.700,0.217,|Δ| > 5.0 пункта
t16 перенос между форматами,2 — классификатор,464,пара документ × модель,0.000,0.461,0.000,|Δp| > 0.05 и смена решения
t16 перенос между форматами,3 — zero-shot NLL,60,документ,0.0000,0.1482,—,порог не применяется
t16 перенос между форматами,4 — модель-судья,60,документ,0.000,13.000,0.050,|Δ| > 5.0 пункта по медиане трёх сидов
